smiles,value,target_id
C[C@H]1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.9386,[1]
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,0.285714286,[1]
O=C1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1O,0.005555556,[1]
C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,0.875,[1]
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0.102040816,[1]
Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O,0.103092784,[1]
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,0.29,[1]
C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,0.005,[1]
CC12CC3CC(C)(C1)CC(N)(C3)C2,0.495,[1]
CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,0.332433891,[1]
NCC(CC(=O)O)c1ccc(Cl)cc1,0.69,[1]
CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,0.241014799,[1]
CN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@@]3(O)[C@H]1C5,0.187994723,[1]
CCc1ccc(CCOc2ccc(Cc3sc(=O)[nH]c3O)cc2)nc1,0.00625,[1]
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,0.0450045,[1]
COC(=O)NC(C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,0.07,[1]
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,0.0,[1]
COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,0.075,[1]
c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,0.585,[1]
C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,0.547368421,[1]
O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1,0.105882353,[1]
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)[C@H]2SC1,0.8402,[1]
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,0.791476408,[1]
CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,0.057515337,[1]
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0.803,[1]
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,0.086268637,[1]
Cc1onc(-c2ccccc2)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,0.46,[1]
COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(C[C@@](O)(C(C)=O)C[C@@H]1O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C3=O,0.005,[1]
CCC[C@@H]1CC(C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1,0.3,[1]
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,0.0,[1]
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0.012221323,[1]
CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,0.1,[1]
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,0.762711864,[1]
CC(N)C12CC3CC(CC(C3)C1)C2,0.208333333,[1]
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0.94,[1]
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.10952381,[1]
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0.006374203,[1]
CN1CCN2c3ncccc3Cc3ccccc3C2C1,0.04,[1]
C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc31)[C@@H]2N,0.01,[1]
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0.007692308,[1]
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,0.005291005,[1]
CN(C)CCCN1c2ccccc2CCc2ccccc21,0.02,[1]
COCCc1ccc(OCC(O)CNC(C)C)cc1,0.2,[1]
CC(C)(C)NC(=O)C1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,0.006595218,[1]
CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C/CNC(=O)/C=C/[C@@H](C)[C@@H](C(C)C)OC(=O)C12,0.045,[1]
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,0.0025,[1]
Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,0.7767,[1]
CCCCCN=C(N)NN=Cc1c[nH]c2ccc(OC)cc12,0.047761194,[1]
Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0.24,[1]
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0.691,[1]
Clc1cccc(Cl)c1NC1=NCCN1,0.62,[1]
CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,0.631147541,[1]
c1cnc2cc3c(cc2n1)C1CNCC3C1,0.942,[1]
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0.01,[1]
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,0.403669725,[1]
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,0.65,[1]
COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(C[C@@](O)(C(=O)CO)C[C@@H]1O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1)C3=O,0.095,[1]
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0.01,[1]
CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,0.0,[1]
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,0.01,[1]
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,0.2,[1]
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,0.086021505,[1]
COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,0.0,[1]
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,0.185810811,[1]
COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.005263158,[1]
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O,0.209339775,[1]
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)C1O5,0.032,[1]
CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,0.268456376,[1]
