smiles,value,target_id
Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,0.999968206,[4]
COc1cc2nnc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1N1CCN(C)CC1,0.069,[4]
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,0.006747412,[4]
CC(C)NCc1c(C(=O)N[C@@H]2CCC[C@H](O)C2)noc1-c1ccc(C(F)(F)F)cc1,0.271,[4]
CN=C(NC#N)NCCSCc1[nH]cnc1C,0.871428316,[4]
C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,0.964893986,[4]
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)C23)OCO4)cc(OC)c1O,0.356760046,[4]
CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,0.660957304,[4]
C[C@H](Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ncc(C(F)(F)F)cc2F)CC1)C(F)(F)F,0.055038536,[4]
CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,0.019761232,[4]
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,0.6380474,[4]
CN(C)CCC(c1ccccc1)c1ccccn1,0.782012718,[4]
c1cnc(Nc2nc3c(s2)CCCc2[nH]ncc2-3)nc1,0.006,[4]
Nc1nc(=O)c2ncn(COC(CO)CO)c2[nH]1,1.0,[4]
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,0.105094169,[4]
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,0.000735676,[4]
CNCCCN1c2ccccc2CCc2ccccc21,0.128631601,[4]
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,0.001871526,[4]
C(#Cc1ncn2c1COc1ccccc1-2)c1ccccc1,0.01,[4]
CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,0.0,[4]
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,0.011300729,[4]
C=CCOc1ccccc1OCC(O)CNC(C)C,0.643003297,[4]
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0.000160708,[4]
COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,0.000285134,[4]
Cc1cnc(NC(=O)C2C(=O)c3ccccc3S(=O)(=O)N2C)s1,0.001941381,[4]
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,0.128984212,[4]
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,0.085438533,[4]
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.017736862,[4]
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,0.003863384,[4]
CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc(Cl)c1Cl,0.002071678,[4]
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0.019281804,[4]
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,0.006387386,[4]
O=C(c1cccc(Cl)c1Cl)c1nc(CN2CCOCC2)c2ccccn12,0.24,[4]
CCCCCN=C(N)NN=Cc1c[nH]c2ccc(OC)cc12,0.015369427,[4]
CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2,0.031025122,[4]
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,0.130390559,[4]
CCc1c[nH]c2ncnc(N3CC[C@](N)(CNC(=O)c4ccc(F)cc4F)C3)c12,0.0033,[4]
N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,0.099614666,[4]
c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,0.039041135,[4]
CC(=O)OC1=C2C(C)[C@@H](OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)C2(C)C,0.034351156,[4]
COC(=O)NC(C(=O)N1CCC[C@H]1c1nc(-c2ccc(-c3ccc(-c4c[nH]c([C@@H]5CCCN5C(=O)C(NC(=O)OC)C(C)C)n4)cc3)cc2)c[nH]1)C(C)C,0.010441692,[4]
N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,0.394302,[4]
CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,0.125864701,[4]
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,0.000607908,[4]
Cc1cccc([C@H](C)c2c[nH]cn2)c1C,0.15004285,[4]
COC[C@@H](C1CC1)n1cc(Cl)nc(Nc2cc(C)c(OC)cc2C)c1=O,0.021,[4]
COC(=O)N(C)c1c(N)nc(-c2nn(Cc3ccccc3F)c3ncccc23)nc1N,0.227303782,[4]
Cn1cc(C(=O)NC[C@@H](O)CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)c(C(F)(F)F)cc1=O,0.103,[4]
C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,0.666217304,[4]
CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,0.036105864,[4]
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,0.624580118,[4]
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,0.559168212,[4]
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,0.650163134,[4]
COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1,0.024,[4]
CC(c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,0.400884513,[4]
O=C(O)CCCN1CCC(O[C@@H](c2ccc(Cl)cc2)c2ccccn2)CC1,0.642334634,[4]
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0.099122762,[4]
CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,0.002428023,[4]
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,0.00072831,[4]
CCCSc1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,0.018,[4]
Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,0.709152903,[4]
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0.788970465,[4]
